time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,open_supp_intern,open_apprentice,open_trainee,open_wbp
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,FE - general FE and tertiary colleges,63,7,3,73
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,FE - specialist post-16 institutions,54,0,9,63
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,FE - total,155,59,184,398
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,FE - UKRLP provider,38,52,172,262
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - academy,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - academy (resourced provision),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - academy (SEN unit),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - free school,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - independent,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - LA maintained,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - LA maintained (resourced provision),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - LA maintained (SEN unit),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Mainstream - total,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Non-maintained early years,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Placement not recorded,10,3,2,15
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Special - academy/free school,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Special - independent,0,1,0,1
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Special - LA maintained,0,0,2,2
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Special - non-maintained,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Type of placement,Special - total,0,1,2,3
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 15 and under,0,0,1,1
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 16,15,16,34,65
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 17,16,19,41,76
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 18,43,11,37,91
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 19,39,10,26,75
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 20,28,6,21,55
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 21,31,6,25,62
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 22,8,3,12,23
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 23,5,1,5,11
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,age 24,1,1,3,5
202425,Academic year,Regional,E92000001,England,E12000001,North East,,,,Young persons age,Age unknown,0,0,1,1
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,All work based placements,All work based placements,399,107,50,556
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Any other ethnic group,5,0,0,5
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Asian - Any other Asian background,6,0,0,6
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Asian - Bangladeshi,6,0,0,6
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Asian - Chinese,2,0,0,2
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Asian - Indian,2,1,0,3
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Asian - Pakistani,5,1,0,6
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Black - Any other Black background,4,0,0,4
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Black - Black African,17,0,0,17
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Black - Black Caribbean,2,1,2,5
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Mixed - Any other Mixed background,6,0,0,6
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Mixed - White and Asian,4,2,1,7
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Mixed - White and Black African,2,2,0,4
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Mixed - White and Black Caribbean,2,1,0,3
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,Unclassified,21,5,3,29
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,White - Any other White background,10,0,1,11
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,White - Gypsy/Roma,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,White - Irish,3,0,0,3
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,White - Traveller of Irish heritage,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Ethnicity,White - White British,302,94,43,439
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Sex,Female,124,28,15,167
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Sex,Male,275,79,35,389
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Sex,Unknown,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,AP/PRU - academy,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,AP/PRU - free school,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,AP/PRU - LA maintained,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,AP/PRU - total,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - elective home education,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - NEET,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - not in education or training (compulsory school age),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - not in education or training (notice to cease issued),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - not in education or training (other),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - online provider,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - other arrangements by LA,12,6,14,32
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - other arrangements by parents,0,4,0,4
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - other placement settings,0,15,1,16
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - other schools and establishments,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - total,12,25,15,52
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Educated elsewhere - Welsh establishment,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,FE - general FE and tertiary colleges,277,56,16,349
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,FE - specialist post-16 institutions,35,2,1,38
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,FE - total,347,78,35,460
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,FE - UKRLP provider,35,20,18,73
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - academy,0,2,0,2
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - academy (resourced provision),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - academy (SEN unit),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - free school,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - free school (resourced provision),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - independent,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - LA maintained,0,1,0,1
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - LA maintained (resourced provision),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - LA maintained (SEN unit),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Mainstream - total,0,3,0,3
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Non-maintained early years,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Placement not recorded,3,0,0,3
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Special - academy/free school,3,1,0,4
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Special - independent,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Special - LA maintained,32,0,0,32
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Special - non-maintained,2,0,0,2
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Type of placement,Special - total,37,1,0,38
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 15 and under,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 16,9,17,19,45
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 17,28,28,15,71
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 18,86,19,10,115
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 19,97,18,3,118
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 20,75,14,2,91
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 21,41,6,1,48
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 22,29,3,0,32
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 23,18,1,0,19
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,age 24,16,1,0,17
202425,Academic year,Regional,E92000001,England,E12000002,North West,,,,Young persons age,Age unknown,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All work based placements,All work based placements,245,87,25,357
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Any other ethnic group,1,0,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Asian - Any other Asian background,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Asian - Bangladeshi,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Asian - Chinese,1,0,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Asian - Indian,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Asian - Pakistani,15,0,0,15
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Black - Any other Black background,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Black - Black African,2,0,0,2
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Black - Black Caribbean,1,0,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Mixed - Any other Mixed background,1,3,1,5
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Mixed - White and Asian,1,0,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Mixed - White and Black African,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Mixed - White and Black Caribbean,2,1,1,4
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,Unclassified,13,1,2,16
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,White - Any other White background,4,0,0,4
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,White - Gypsy/Roma,1,0,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,White - Irish,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,White - Traveller of Irish heritage,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Ethnicity,White - White British,203,82,21,306
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Sex,Female,75,10,9,94
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Sex,Male,170,77,16,263
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,AP/PRU - academy,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,AP/PRU - free school,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,AP/PRU - LA maintained,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,AP/PRU - total,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - elective home education,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - NEET,0,1,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - not in education or training (compulsory school age),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - not in education or training (notice to cease issued),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - not in education or training (other),0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - online provider,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - other arrangements by LA,0,1,0,1
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - other arrangements by parents,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - other placement settings,1,5,1,7
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - other schools and establishments,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - total,1,7,1,9
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Educated elsewhere - Welsh establishment,0,0,0,0
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,FE - general FE and tertiary colleges,82,49,1,132
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,FE - specialist post-16 institutions,48,0,0,48
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,FE - total,212,80,20,312
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,FE - UKRLP provider,82,31,19,132
202425,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Type of placement,Mainstream - academy,0,0,0,0
