time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,max_age,needs_met,he,employ,transfer,no_engage,moved_outside_eng,deceased,not_rec,other,total_ceased
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,Years plan held,7 years,46,50,49,98,78,351,1,8,0,25,706
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,Years plan held,8 years,70,36,38,49,51,204,2,2,0,7,459
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,Years plan held,9 years,22,10,7,10,17,114,3,1,0,2,186
2024,Calendar year,Regional,E92000001,England,E12000009,South West,,,,Years plan held,Under a year,0,3,1,1,277,7,16,3,0,2,310
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 10,0,0,0,0,7,0,0,0,0,0,7
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 11,0,0,0,0,6,0,0,0,0,0,6
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 12,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 13,0,0,0,0,3,0,0,0,0,0,3
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 14,0,0,0,0,3,0,0,0,0,0,3
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 15,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 16,0,2,0,0,3,1,0,0,0,0,6
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 17,0,3,0,1,3,3,0,1,0,0,11
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 18,0,4,1,1,3,13,0,0,0,0,22
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 19,0,0,0,2,1,7,0,0,0,1,11
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 20 and over,0,3,2,2,0,7,0,0,0,0,14
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 4,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 5,0,0,0,0,5,0,0,0,0,0,5
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 6,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 7,0,0,0,0,3,0,0,0,0,0,3
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Age plan ceased,age 9,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,All ceased EHC plans,All ceased EHC plans,0,12,3,6,47,31,0,1,0,1,101
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,Any other ethnic group,0,1,0,0,3,0,0,0,0,0,4
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,Black - Any other Black background,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,Black - Black African,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,Mixed - Any other Mixed background,0,0,0,0,1,0,0,0,0,0,1
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,Unclassified,0,0,0,0,2,0,0,0,0,0,2
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,White - Any other White background,0,1,0,0,3,2,0,0,0,0,6
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Ethnicity,White - White British,0,10,3,6,34,29,0,1,0,1,84
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Female,0,3,1,0,18,13,0,1,0,0,36
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Sex,Male,0,9,2,6,29,18,0,0,0,1,65
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,AP/PRU - LA maintained,0,0,0,0,1,0,0,0,0,0,1
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,AP/PRU - total,0,0,0,0,1,0,0,0,0,0,1
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,Educated elsewhere - other arrangements by LA,0,2,0,1,1,5,0,0,0,1,10
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,Educated elsewhere - other placement settings,0,1,0,0,0,0,0,0,0,0,1
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,Educated elsewhere - total,0,3,0,1,1,5,0,0,0,1,11
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,FE - general FE and tertiary colleges,0,4,2,2,4,17,0,0,0,0,29
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,Type of placement,FE - specialist post-16 institutions,0,0,0,0,0,1,0,1,0,0,2
