time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,ehc_plans,number_asd,number_hi,number_mld,number_msi,number_oth,number_pd,number_pmld,number_semh,number_slcn,number_sld,number_spld,number_vi,number_need_unknown,asd_pc,hi_pc,mld_pc,msi_pc,oth_pc,pd_pc,pmld_pc,semh_pc,slcn_pc,sld_pc,spld_pc,vi_pc,unknown_pc
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Pakistani,2755,692,48,206,11,25,113,52,204,1206,64,26,27,81,25.1,1.7,7.5,0.4,0.9,4.1,1.9,7.4,43.8,2.3,0.9,1,2.9
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Any other Black background,974,275,10,78,1,3,12,4,152,386,14,22,3,14,28.2,1,8,0.1,0.3,1.2,0.4,15.6,39.6,1.4,2.3,0.3,1.4
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Black African,3716,1006,49,219,5,40,87,29,313,1756,87,32,16,77,27.1,1.3,5.9,0.1,1.1,2.3,0.8,8.4,47.3,2.3,0.9,0.4,2.1
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Black Caribbean,1012,278,5,76,2,11,16,3,252,306,9,24,4,26,27.5,0.5,7.5,0.2,1.1,1.6,0.3,24.9,30.2,0.9,2.4,0.4,2.6
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - Any other Mixed background,2528,760,17,137,9,26,44,13,585,804,26,44,8,55,30.1,0.7,5.4,0.4,1,1.7,0.5,23.1,31.8,1,1.7,0.3,2.2
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Asian,1137,356,6,69,4,17,22,7,253,339,11,23,4,26,31.3,0.5,6.1,0.4,1.5,1.9,0.6,22.3,29.8,1,2,0.4,2.3
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black African,904,250,1,64,1,4,13,2,243,283,7,15,1,20,27.7,0.1,7.1,0.1,0.4,1.4,0.2,26.9,31.3,0.8,1.7,0.1,2.2
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black Caribbean,1976,484,6,149,2,22,29,3,758,424,20,40,2,37,24.5,0.3,7.5,0.1,1.1,1.5,0.2,38.4,21.5,1,2,0.1,1.9
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,Unclassified,7930,2241,117,598,21,155,269,117,1368,2432,156,194,65,197,28.3,1.5,7.5,0.3,2,3.4,1.5,17.3,30.7,2,2.4,0.8,2.5
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Any other White background,4023,1189,34,307,8,38,85,31,668,1432,43,77,31,80,29.6,0.8,7.6,0.2,0.9,2.1,0.8,16.6,35.6,1.1,1.9,0.8,2
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Gypsy/Roma,385,40,12,56,1,4,7,4,134,97,14,9,3,4,10.4,3.1,14.5,0.3,1,1.8,1,34.8,25.2,3.6,2.3,0.8,1
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Irish,228,62,2,14,0,4,8,0,62,60,3,8,0,5,27.2,0.9,6.1,0,1.8,3.5,0,27.2,26.3,1.3,3.5,0,2.2
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Traveller of Irish heritage,179,37,1,31,0,3,1,0,52,43,1,7,2,1,20.7,0.6,17.3,0,1.7,0.6,0,29.1,24,0.6,3.9,1.1,0.6
202425,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - White British,63690,17447,304,4842,101,763,1375,266,20200,14835,606,1638,254,1059,27.4,0.5,7.6,0.2,1.2,2.2,0.4,31.7,23.3,1,2.6,0.4,1.7
202425,Calendar year,National,E92000001,England,,,,,,Sex,Female,32534,8536,308,2863,72,422,1026,258,8915,8029,462,804,202,637,26.2,0.9,8.8,0.2,1.3,3.2,0.8,27.4,24.7,1.4,2.5,0.6,2
202425,Calendar year,National,E92000001,England,,,,,,Sex,Male,65028,18320,397,4496,105,746,1240,365,16724,19029,762,1418,255,1171,28.2,0.6,6.9,0.2,1.1,1.9,0.6,25.7,29.3,1.2,2.2,0.4,1.8
202425,Calendar year,National,E92000001,England,,,,,,Sex,Unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,AP/PRU - academy,581,82,0,15,1,7,1,0,425,32,3,4,0,11,14.1,0,2.6,0.2,1.2,0.2,0,73.1,5.5,0.5,0.7,0,1.9
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,AP/PRU - free school,148,19,0,8,0,1,0,0,109,9,0,2,0,0,12.8,0,5.4,0,0.7,0,0,73.6,6.1,0,1.4,0,0
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,AP/PRU - LA maintained,674,97,0,18,0,1,8,4,478,42,8,5,0,13,14.4,0,2.7,0,0.1,1.2,0.6,70.9,6.2,1.2,0.7,0,1.9
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,AP/PRU - total,1403,198,0,41,1,9,9,4,1012,83,11,11,0,24,14.1,0,2.9,0.1,0.6,0.6,0.3,72.1,5.9,0.8,0.8,0,1.7
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - elective home education,1215,429,5,65,1,11,20,4,430,209,5,22,2,12,35.3,0.4,5.3,0.1,0.9,1.6,0.3,35.4,17.2,0.4,1.8,0.2,1
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - NEET,475,120,3,24,1,3,15,1,263,21,6,4,1,13,25.3,0.6,5.1,0.2,0.6,3.2,0.2,55.4,4.4,1.3,0.8,0.2,2.7
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - not in education or training (compulsory school age),424,107,4,23,0,8,5,7,190,50,7,11,2,10,25.2,0.9,5.4,0,1.9,1.2,1.7,44.8,11.8,1.7,2.6,0.5,2.4
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - not in education or training (notice to cease issued),26,6,0,2,0,0,3,0,8,6,1,0,0,0,23.1,0,7.7,0,0,11.5,0,30.8,23.1,3.8,0,0,0
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - not in education or training (other),319,66,6,12,0,10,35,14,31,124,11,1,3,6,20.7,1.9,3.8,0,3.1,11,4.4,9.7,38.9,3.4,0.3,0.9,1.9
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - online provider,39,10,0,0,0,0,1,0,26,2,0,0,0,0,25.6,0,0,0,0,2.6,0,66.7,5.1,0,0,0,0
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other arrangements by LA,1164,317,0,31,2,19,29,7,622,92,16,8,0,21,27.2,0,2.7,0.2,1.6,2.5,0.6,53.4,7.9,1.4,0.7,0,1.8
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other arrangements by parents,206,62,1,10,2,4,12,6,39,54,6,2,2,6,30.1,0.5,4.9,1,1.9,5.8,2.9,18.9,26.2,2.9,1,1,2.9
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other placement settings,462,123,1,17,1,13,23,22,164,48,14,7,1,28,26.6,0.2,3.7,0.2,2.8,5,4.8,35.5,10.4,3,1.5,0.2,6.1
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other schools and establishments,8,2,0,0,0,0,0,0,5,0,0,1,0,0,25,0,0,0,0,0,0,62.5,0,0,12.5,0,0
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - total,4382,1253,20,186,7,68,144,62,1798,612,68,56,11,97,28.6,0.5,4.2,0.2,1.6,3.3,1.4,41,14,1.6,1.3,0.3,2.2
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - Welsh establishment,44,11,0,2,0,0,1,1,20,6,2,0,0,1,25,0,4.5,0,0,2.3,2.3,45.5,13.6,4.5,0,0,2.3
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,FE - general FE and tertiary colleges,2271,726,17,163,0,41,78,2,927,178,21,53,14,51,32,0.7,7.2,0,1.8,3.4,0.1,40.8,7.8,0.9,2.3,0.6,2.2
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,FE - specialist post-16 institutions,180,70,0,10,0,1,4,3,70,10,2,2,3,5,38.9,0,5.6,0,0.6,2.2,1.7,38.9,5.6,1.1,1.1,1.7,2.8
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,FE - total,2781,895,17,193,1,49,83,5,1165,205,27,59,19,63,32.2,0.6,6.9,0,1.8,3,0.2,41.9,7.4,1,2.1,0.7,2.3
202425,Calendar year,National,E92000001,England,,,,,,Type of placement,FE - UKRLP provider,330,99,0,20,1,7,1,0,168,17,4,4,2,7,30,0,6.1,0.3,2.1,0.3,0,50.9,5.2,1.2,1.2,0.6,2.1
